,CUI,Drug,Indication
203,['7818'],Oxyphenonium, the visceral spasms
204,['134527'],Nelfinavir, in combination with other antiviral drugs in the hiv in both adults and children.
205,['6023'],Isoetarine," the asthma, wheezing, and chronic asthmatic bronchitis."
206,['25789'],Glimepiride, concomitant use with insulin the noninsulin-dependent (type 2) diabetes mellitus.
207,['91311'],Diflorasone, relief the inflammary and pruritic manifestations corticosteroid responsive dermases.
208,"['114289', '1546024']",Indinavir, is an antiretroviral drug the hiv infection.
209,['41144'],Gadodiamide," intravenous use in mri visualize lesions with abnormal vascularity (or those thought cause abnormalities in the blood-brain barrier) in the brain (intracranial lesions), spine, and associated tissues."
210,['26296'],Guanadrel, treat and control hypertension.
211,['6472'],Lovastatin," as an adjunct diet reduce elevated tal-c, ldl-c, apo b, and tg levels in patients with primary hypercholesterolemia and mixed dyslipidemia. primary prevention coronary heart disease and slow progression coronary atherosclerosis in patients with coronary heart disease."
212,['3920'],Enflurane, the induction and maintenance general anaesthesia during surgery and cesarean section and also analgesia during vaginal delivery.
213,['2188'],Cefotiam, severe infections ca by susceptible bacteria.
214,['187832'],Pregabalin," is the neuropathic pain associated with diabetic peripheral neuropathy or spinal cord injury, and postherpetic neuralgia. it is not approved the fibromyalgia or as adjuntive therapy adult partial onset seizures.[fda label]"
215,['10355'],Temazepam, the short-term insomnia (generally 7-10 days).
216,['6860'],Methyclothiazide," use in the hypertension either as the sole therapeutic agent or enhance the effect other antihypertensive drugs in the more severe ms hypertension. also as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy."
217,['7833'],Aminosalicylic Acid, the tuberculosis
218,['60842'],Reboxetine, the clinical depression.
219,['52769'],Milrinone, the congestive heart failure.
220,['8347'],Pipobroman, the polycythaemia vera and refracry chronic myeloid leukaemia.
221,['477631'],Butabarbital, short-term insomnia and anxiety disorders
222,['53654'],Nevirapine, use in combination with other antiretroviral drugs in the ongoing hiv-1 infection.
223,['32638'],Oxiconazole, dermal fungal infection.
224,['108088'],Alclometasone, the relief the inflammary and pruritic manifestations corticosteroid-responsive dermases.
225,['19860'],Butalbital," in combination with acetaminophen or aspirin and caffeine its sedative and relaxant effects in the tension headaches, migraines, and pain."
226,['44157'],Cladribine," the active hairy cell leukemia (leukemic reticuloendotheliosis) as defined by clinically significant anemia, neutropenia, thrombocypenia, or disease-related sympms. also as an alternative agent the chronic lymphocytic leukemia (cll), low-grade non-hodgkin's lymphoma, and cutaneous t-cell lymphoma."
227,['35829'],Ranolazine," the chronic angina. it should be in combination with amlodipine, beta-blockers or nitrates."
228,['52582'],Mesalazine, the active ulcerative proctitis.
229,['1424'],Benzatropine, use as an adjunct in the therapy all ms parkinsonism and also use in the control extrapyramidal disorders due neuroleptic drugs.
230,['115698'],Ziprasidone, the schizophrenia and related psychotic disorders.
231,['6911'],Methysergide, the vascular headache
232,['47579'],Cabergoline," the hyperprolactinemic disorders, either idiopathic or due prolactinoma (prolactin-secreting adenomas). may also be manage sympms parkinsonian syndrome as monotherapy during initial sympmatic or as an adjunct levodopa therapy during advanced stages disease."
233,['5653'],Idoxuridine, use in keraconjunctivitis and keratitis ca by herpes simplex virus.
234,['3108'],Dapsone, the and leprosy and dermatitis herpetimis.
235,['37806'],Terconazole, the candidiasis (a yeast-like fungal infection) the vulva and vagina.
236,['8183'],Phenytoin," the control generalized nic-clonic (grand mal) and complex partial (psychomor, temporal lobe) seizures and prevention and seizures occurring during or following neurosurgery."
237,['29439'],Medrysone," the allergic conjunctivitis, vernal conjunctivitis, episcleritis, and epinephrine sensitivity."
238,"['3640', '1545992']",Doxycycline," is use in respirary tract infections ca by mycoplasma pneumoniae, haemophilus influenzae, strepcoccus pneumoniae, legionella spp., or klebsiella spp. it is also prophylaxis malaria. is a variety bacterial infections, from mycobacterium tuitum and m. marinum, susceptible e. coli and brucella spp. it can be as an alternative treating plague, tetanus, campylobacter fetus"
239,['3390'],Diethylstilbestrol, in the prostate cancer. previously in the prevention miscarriage or premature delivery in pregnant women prone miscarriage or premature delivery.
240,['6513'],Lymecycline," the infections and treat acne. it may also be treat urinary tract infections, gum disease, and other bacterial infections such as gonorrhea and chlamydia. is also commonly as a prophylactic infection by <i>bacillus anthracis</i> (anthrax). it is also effective against <i>yersinia pestis</i> and malaria and is also prescribed the lyme disease."
241,"['2623', '202859']",Clotrimazole," the local oropharyngeal candidiasis and vaginal yeast infections, also in fungal infections the skin such as ringworm, athlete's foot, and jock itch."
242,['214342'],Calcium Acetate, is one a number calcium salts treat hyperphosphatemia (o much phosphate in the blood) in patients with kidney disease.
243,['10184'],Sulfanilamide, the vulvovaginitis ca by <i>candida albicans</i>.
244,['3007'],Cycloserine, in combination with up 5 other drugs as a mycobacterium avium complex (mac) and is also treat tuberculosis (tb).
245,['596724'],Anagrelide," the patients with thrombocythemia, secondary myeloproliferative disorders, reduce the elevated platelet count and the risk thrombosis and ameliorate associated sympms including thrombo-hemorrhagic events."
246,"['2105', '343027']",Carmustine," the brain tumors, multiple myeloma, hodgkin's disease and non-hodgkin's lymphomas."
247,['10207'],Sulfisoxazole," the severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, xoplasmosis, malaria and other bacterial infections."
248,['6918'],Metoprolol," the acute myocardial infarction, angina pecris, heart failure and mild moderate hypertension. may be treat supraventricular and tachyarrhythmias and as prophylaxis migraine headaches."
249,['21766'],Crotamiton, eradication scabies (<i>sarcoptes scabiei</i>) and sympmatic pruritic skin.
250,['1598'],Dicoumarol, decreasing blood clotting. ten along with heparin deep vein thrombosis.
251,['72302'],Ropinirole, the the signs and sympms idiopathic parkinson's disease. also the restless legs syndrome.
252,['2397'],Chlorotrianisene," treat sympms menopause, deficiencies in ovary function (including underdevelopment female sexual characteristics and some types infertility), and in rare cases, prostate cancer. may also be prevent breast engorgement following childbirth."
253,['33910'],Isradipine, the mild moderate essential hypertension. it may be alone or concurrently with thiazide-type diuretics.
254,"['3319', '1546223', '1546451']",Diatrizoate,", alone or in combination, a wide variety diagnostic imaging methods, including angiography, urography, cholangiography, computed mography, hysterosalpingography, and retrograde pyelography. it can be imaging the gastrointestinal tract in patients allergic barium."
255,['38404'],Topiramate, the and control partial seizures and severe nic-clonic (grand mal) seizures and also the prevention migraine headaches. in children it is also lennox-gastaut syndrome. qsymia® is the and obesity.
256,['2182'],Cefmetazole, the infections ca by susceptible organisms.
257,['321064'],Olmesartan, the hypertension.
258,['739'],Amsacrine, acute myeloid leukaemia.
259,"['10438', '91178']",Theophylline," the the sympms and reversible airflow obstruction associated with chronic asthma and other chronic lung diseases, such as emphysema and chronic bronchitis."
260,['15202'],Argatroban," is prevention and thrombosis ca by heparin induced thrombocypenia (hit). it is also use in patients with, or at risk , hit who are undergoing percutaneous coronary intervention."
261,['10814'],Liothyronine," as replacement or supplemental therapy in patients with hypothyroidism any etiology, except transient hypothyrodism during the recovery phase subacute thyroiditis."
262,['3541'],Disopyramide," the documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. it is a class ia antiarrhythmic drug."
263,['6387'],Lidocaine, production local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks.
264,"['11473', '1546406']",Pamidronate, the moderate or severe hypercalcemia associated with malignancy
