CUI,Drug,Indication
['7818'],oxyphenonium,for the treatment of visceral spasms
['134527'],nelfinavir,used in combination with other antiviral drugs in the treatment of hiv in both adults and children
['6023'],isoetarine,for the treatment of asthma wheezing and chronic asthmatic bronchitis
['25789'],glimepiride,for concomitant use with insulin for the treatment of noninsulindependent type 2 diabetes mellitus
['91311'],diflorasone,for relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses
"['114289', '1546024']",indinavir,indinavir is an antiretroviral drug for the treatment of hiv infection
['41144'],gadodiamide,for intravenous use in mri to visualize lesions with abnormal vascularity or those thought to cause abnormalities in the bloodbrain barrier in the brain intracranial lesions spine and associated tissues
['26296'],guanadrel,used to treat and control hypertension
['6472'],lovastatin,for management as an adjunct to diet to reduce elevated totalc ldlc apo b and tg levels in patients with primary hypercholesterolemia and mixed dyslipidemia for primary prevention of coronary heart disease and to slow progression of coronary atherosclerosis in patients with coronary heart disease
['3920'],enflurane,used for the induction and maintenance of general anaesthesia during surgery and cesarean section and also used for analgesia during vaginal delivery
['2188'],cefotiam,for treatment of severe infections caused by susceptible bacteria
['187832'],pregabalin,pregabalin is used for the management of neuropathic pain associated with diabetic peripheral neuropathy or spinal cord injury and postherpetic neuralgia it is not approved for the management of fibromyalgia or as adjuntive therapy for adult partial onset seizuresfda label
['10355'],temazepam,for the shortterm treatment of insomnia generally 710 days
['6860'],methyclothiazide,for use in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension also used as adjunctive therapy in edema associated with congestive heart failure hepatic cirrhosis and corticosteroid and estrogen therapy
['7833'],aminosalicylic acid,for the treatment of tuberculosis
['60842'],reboxetine,for the treatment of clinical depression
['52769'],milrinone,indicated for the treatment of congestive heart failure
['8347'],pipobroman,for the treatment of polycythaemia vera and refractory chronic myeloid leukaemia
['477631'],butabarbital,for shortterm treatment of insomnia and anxiety disorders
['53654'],nevirapine,for use in combination with other antiretroviral drugs in the ongoing treatment of hiv1 infection
['32638'],oxiconazole,for treatment of dermal fungal infection
['108088'],alclometasone,for the relief of the inflammatory and pruritic manifestations of corticosteroidresponsive dermatoses
['19860'],butalbital,used in combination with acetaminophen or aspirin and caffeine for its sedative and relaxant effects in the treatment of tension headaches migraines and pain
['44157'],cladribine,for the treatment of active hairy cell leukemia leukemic reticuloendotheliosis as defined by clinically significant anemia neutropenia thrombocytopenia or diseaserelated symptoms also used as an alternative agent for the treatment of chronic lymphocytic leukemia cll lowgrade nonhodgkins lymphoma and cutaneous tcell lymphoma
['35829'],ranolazine,for the treatment of chronic angina it should be used in combination with amlodipine betablockers or nitrates
['52582'],mesalazine,for the treatment of active ulcerative proctitis
['1424'],benzatropine,for use as an adjunct in the therapy of all forms of parkinsonism and also for use in the control of extrapyramidal disorders due to neuroleptic drugs
['115698'],ziprasidone,for the treatment of schizophrenia and related psychotic disorders
['6911'],methysergide,for the treatment of vascular headache
['47579'],cabergoline,for the treatment of hyperprolactinemic disorders either idiopathic or due to prolactinoma prolactinsecreting adenomas may also be used to manage symptoms of parkinsonian syndrome as monotherapy during initial symptomatic management or as an adjunct to levodopa therapy during advanced stages of disease
['5653'],idoxuridine,for use in keratoconjunctivitis and keratitis caused by herpes simplex virus
['3108'],dapsone,for the treatment and management of leprosy and dermatitis herpetiformis
['37806'],terconazole,for the treatment of candidiasis a yeastlike fungal infection of the vulva and vagina
['8183'],phenytoin,for the control of generalized tonicclonic grand mal and complex partial psychomotor temporal lobe seizures and prevention and treatment of seizures occurring during or following neurosurgery
['29439'],medrysone,for the treatment of allergic conjunctivitis vernal conjunctivitis episcleritis and epinephrine sensitivity
"['3640', '1545992']",doxycycline,doxycycline is indicated for use in respiratory tract infections caused by mycoplasma pneumoniae haemophilus influenzae streptococcus pneumoniae legionella spp or klebsiella spp it is also used for prophylaxis of malaria doxycycline is indicated for a variety of bacterial infections from mycobacterium fortuitum and m marinum to susceptible e coli and brucella spp it can be used as an alternative to treating plague tetanus campylobacter fetus
['3390'],diethylstilbestrol,used in the treatment of prostate cancer previously used in the prevention of miscarriage or premature delivery in pregnant women prone to miscarriage or premature delivery
['6513'],lymecycline,for the treatment of infections and to treat acne it may also be used to treat urinary tract infections gum disease and other bacterial infections such as gonorrhea and chlamydia lymecycline is also used commonly as a prophylactic treatment for infection by ibacillus anthracisi anthrax it is also effective against iyersinia pestisi and malaria and is also prescribed for the treatment of lyme disease
"['2623', '202859']",clotrimazole,for the local treatment of oropharyngeal candidiasis and vaginal yeast infections also used in fungal infections of the skin such as ringworm athletes foot and jock itch
