['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['4053'],Erythromycin,"For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to <i>Corynebacterium diphtheriae</i>, in the treatment of infections due to <i>Corynebacterium minutissimum</i>, intestinal amebiasis caused by <i>Entamoeba histolytica</i>, acute pelvic inflammatory disease caused by <i>Neisseria gonorrhoeae</i>, skin and soft tissue infections of mild to moderate severity caused by <i>Streptococcus pyogenes</i> and <i>Staphylococcus aureus</i>, primary syphilis caused by <i>Treponema pallidum</i>, infections caused by <i>Chlamydia trachomatis</i>, nongonococcal urethritis caused by <i>Ureaplasma urealyticum</i>, and Legionnaires' disease caused by <i>Legionella pneumophila</i>."
['5514'],Hydroxocobalamin,"For treatment of pernicious anemia and the prevention and treatment of vitamin B12 deficiency arising from alcoholism, malabsorption, tapeworm infestation, celiac, hyperthyroidism, hepatic-biliary tract disease, persistent diarrhea, ileal resection, pancreatic cancer, renal disease, prolonged stress, vegan diets, macrobiotic diets or other restrictive diets. Also for the treatment of known or suspected cyanide poisoning."
['1886'],Caffeine,"For management of fatigue, orthostatic hypotension, and for the short term treatment of apnea of prematurity in infants."
['10154'],Succinylcholine,"Used in surgical procedures where a rapid onset and brief duration of muscle relaxation is needed (includes intubation, endoscopies, and ECT)"
['136411'],Sildenafil,For the treatment of erectile dysfunction and to relieve symptoms of pulmonary arterial hypertension (PAH).
['49247'],Dofetilide,For the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm
['9010'],Pyrimethamine,For the treatment of toxoplasmosis and acute malaria; For the prevention of malaria in areas non-resistant to pyrimethamine
['9260'],Reserpine,Foe the treatment of hypertension
['18631'],Azithromycin,"For the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions: <i>H. influenzae</i>, <i>M. catarrhalis</i>, <i>S. pneumoniae</i>, <i>C. pneumoniae</i>, <i>M. pneumoniae</i>, <i>S. pyogenes</i>, <i>S. aureus</i>, <i>S. agal</i>"
['10594'],Ticlopidine,"Used in patients, who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked, to try to prevent another thrombotic stroke."
['236778'],Trospium,"For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency, detrusor instability and frequency of micturition."
"['60223', '153184']",Adapalene,"For the topical treatment of comedo, papular and pustular acne (acne vulgaris) of the face, chest or back."
['6963'],Midodrine,For the treatment of symptomatic orthostatic hypotension (OH).
['40790'],Pantoprazole,Short-term (up to 16 weeks) treatment of erosive esophagitis.
['38413'],Torasemide,"For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents."
['2556'],Citalopram,"For the treatment of depression. Unlabeled indications include: treatment of mild dementia-associated agitation in nonpsychotic patients, smoking cessation, ethanol abuse, obsessive-compulsive disorder (OCD) in children, and diabetic neuropathy. "
['231049'],Eletriptan,For the acute treatment of migraine with or without aura in adults.
['1523'],Bethanidine,For the treatment of hypertension.
['139462'],Moxifloxacin,"For the treatment of sinus and lung infections such as sinusitis, pneumonia, and secondary infections in chronic bronchitis. Also for the treatment of bacterial conjunctivitis (pinkeye)."
['7818'],Oxyphenonium,For the treatment of visceral spasms
['134527'],Nelfinavir,Used in combination with other antiviral drugs in the treatment of HIV in both adults and children.
['6023'],Isoetarine,"For the treatment of asthma, wheezing, and chronic asthmatic bronchitis."
['25789'],Glimepiride,For concomitant use with insulin for the treatment of noninsulin-dependent (type 2) diabetes mellitus.
['91311'],Diflorasone,For relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.
"['114289', '1546024']",Indinavir,Indinavir is an antiretroviral drug for the treatment of HIV infection.
['41144'],Gadodiamide,"For intravenous use in MRI to visualize lesions with abnormal vascularity (or those thought to cause abnormalities in the blood-brain barrier) in the brain (intracranial lesions), spine, and associated tissues."
['26296'],Guanadrel,Used to treat and control hypertension.
['6472'],Lovastatin,"For management as an adjunct to diet to reduce elevated total-C, LDL-C, apo B, and TG levels in patients with primary hypercholesterolemia and mixed dyslipidemia. For primary prevention of coronary heart disease and to slow progression of coronary atherosclerosis in patients with coronary heart disease. "
['3920'],Enflurane,Used for the induction and maintenance of general anaesthesia during surgery and cesarean section and also used for analgesia during vaginal delivery.
['2188'],Cefotiam,For treatment of severe infections caused by susceptible bacteria.
['187832'],Pregabalin,"Pregabalin is used for the management of neuropathic pain associated with diabetic peripheral neuropathy or spinal cord injury, and postherpetic neuralgia. It is not approved for the management of fibromyalgia or as adjuntive therapy for adult partial onset seizures.[FDA label] "
['10355'],Temazepam,For the short-term treatment of insomnia (generally 7-10 days).
['6860'],Methyclothiazide,"For use in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension. Also used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy."
['7833'],Aminosalicylic Acid,For the treatment of tuberculosis
['60842'],Reboxetine,For the treatment of clinical depression.
['52769'],Milrinone,Indicated for the treatment of congestive heart failure.
['8347'],Pipobroman,For the treatment of polycythaemia vera and refractory chronic myeloid leukaemia.
['477631'],Butabarbital,For short-term treatment of insomnia and anxiety disorders
['53654'],Nevirapine,For use in combination with other antiretroviral drugs in the ongoing treatment of HIV-1 infection.
['32638'],Oxiconazole,For treatment of dermal fungal infection.
['108088'],Alclometasone,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
['19860'],Butalbital,"Used in combination with acetaminophen or aspirin and caffeine for its sedative and relaxant effects in the treatment of tension headaches, migraines, and pain."
['44157'],Cladribine,"For the treatment of active hairy cell leukemia (leukemic reticuloendotheliosis) as defined by clinically significant anemia, neutropenia, thrombocytopenia, or disease-related symptoms. Also used as an alternative agent for the treatment of chronic lymphocytic leukemia (CLL), low-grade non-Hodgkin's lymphoma, and cutaneous T-cell lymphoma."
['35829'],Ranolazine,"For the treatment of chronic angina. It should be used in combination with amlodipine, beta-blockers or nitrates."
['52582'],Mesalazine,For the treatment of active ulcerative proctitis.
['1424'],Benzatropine,For use as an adjunct in the therapy of all forms of parkinsonism and also for use in the control of extrapyramidal disorders due to neuroleptic drugs.
['115698'],Ziprasidone,For the treatment of schizophrenia and related psychotic disorders.
['6911'],Methysergide,For the treatment of vascular headache
['47579'],Cabergoline,"For the treatment of hyperprolactinemic disorders, either idiopathic or due to prolactinoma (prolactin-secreting adenomas). May also be used to manage symptoms of Parkinsonian Syndrome as monotherapy during initial symptomatic management or as an adjunct to levodopa therapy during advanced stages of disease. "
['5653'],Idoxuridine,For use in keratoconjunctivitis and keratitis caused by herpes simplex virus.
['3108'],Dapsone,For the treatment and management of leprosy and dermatitis herpetiformis.
['37806'],Terconazole,For the treatment of candidiasis (a yeast-like fungal infection) of the vulva and vagina.
['8183'],Phenytoin,"For the control of generalized tonic-clonic (grand mal) and complex partial (psychomotor, temporal lobe) seizures and prevention and treatment of seizures occurring during or following neurosurgery."
